"tweet_id","author_id","inbound","created_at","text","response_tweet_id","in_response_to_tweet_id"
"1","32","True","36:44.0","What is a personal contract hire (PCH) agreement?","2",""
"2","546","False","36:44.0","With both PCH and PCP agreements, the finance company owns the vehicle throughout the lease. As the name suggests, the lessee is merely hiring the car for a contracted length of time. At the end of the lease, the vehicle is handed back to the finance company, whereas those taking out personal contract purchase (PCP) deals will have the option of buying the car outright at the end of the lease. ","","1"
"3","6666655","True","36:44.0","What is the difference between personal contract hire (PCH) and personal contract purchase (PCP)?","4",""
"4","34","False","36:44.0","With both PCH and PCP agreements, the finance company owns the vehicle throughout the lease. As the name suggests, the lessee is merely hiring the car for a contracted length of time. At the end of the lease, the vehicle is handed back to the finance company, whereas those taking out personal contract purchase (PCP) deals will have the option of buying the car outright at the end of the lease. ","","3"
"5","2222222","True","36:44.0","What is the difference between personal and business contract hire?","6",""
"6","5","False","36:44.0","Business contract hire is popular with various types of fleets and works in much the same way as personal contract hire, albeit exclusively for companies. For more information on eligibility check out our full business contract hire guide here, you can also find all our business car leasing deals here.","","5"
"7","6","True","36:44.0","Is it a good idea to lease a new car?","8",""
"8","7","False","36:44.0","Cars depreciate quickly. Leasing helps avoid value loss by turning depreciation into fixed payments...","","7"
"9","8","True","36:44.0","Do you advertise ‘no deposit’ lease deals on Leasing.com?","10",""
"10","9","False","36:44.0","We don’t advertise ‘no deposit’ lease deals, although you can find lease deals that are available with a one-month initial rental, this means you pay the same monthly price throughout the deal. Here’s all our one month initial rental deals.","","9"
"11","10","True","36:44.0","What is the difference between an ‘in stock’ deal and a ‘factory’ order?","12",""
"12","11","False","36:44.0","If a deal is advertising as ‘in stock’ this means that the vehicle in question doesn’t have to be built to order and is ready to go, so delivery should be faster. They’re a great option if you don’t want to wait for a car to be built, although you may have to be flexible when it comes to specification and colour options. Please note, some stock vehicles may also be pre-registered, which is a new car that has already been registered with the DVLA by a dealership, leasing company, or broker, but hasn't been used by anyone else.","","11"
"13","12","True","36:44.0","Is insurance included in a car lease deal?","14",""
"14","13","False","36:44.0","No. Because the cost of insurance can vary wildly between drivers, it is impossible to accurately factor in insurance costs with our monthly lease rates. Luckily though, insuring a lease car is no different to getting any other car insured, so shop around for the most suitable quote for you.","","13"
"15","15","True","36:44.0","Can you get car insurance if you’re not the registered owner?","16",""
"16","14","False","36:44.0","This is essentially how insuring a lease car works. When you are looking for a car insurance quote on a lease car one question from the car insurer will ask if you are the registered keeper and legal owner. At this point you would click ‘no’ and fill in further details about the company you are leasing from.","","15"
"17","16","True","36:44.0","Can you lease a second car?","18",""
"18","17","False","36:44.0","Yes you can lease multiple vehicles, providing you pass the relevant credit and affordability checks. Please be aware that this might severely impact your credit rating and ensure that you can afford the monthly repayments on leasing more than one car before enquiring.","","17"
"19","18","True","36:44.0","Is road tax included in a car lease?","20",""
"20","19","False","36:44.0","Road tax, or Vehicle Excise Duty (VED) to give it its proper name, will normally be included within the price. All lease agreements should include road tax either for the duration of the contract or for the first 12 months.","","19"
"21","20","True","36:44.0","What happens if road tax increases during my lease contract?","22",""
"22","22","False","36:44.0","If Vehicle Excise Duty increases during the lease agreement, you may be liable to pay the amount of the increase. This can vary between funders and depends on the level of increase, so always check your contract.","","21"
"23","33","True","36:44.0","Is servicing and maintenance included in a car lease?","24",""
"24","44","False","36:44.0","You can choose deals with servicing included, although not all lease companies will offer this. If the deal does come with maintenance, the lease company will pay for all servicing and scheduled maintenance, but some consumables such as tyres and windscreen wipers may not be included.
If the deal does not have maintenance included you will have to pay for servicing. The terms and conditions of the lease may stipulate that this is done at a franchised dealer or manufacturer-approved service centre. As the car is likely to be under warranty for the duration of the lease, any faults will be repaired under warranty and you may be able to purchase a servicing package.","","23"
"25","567","True","36:44.0","What does initial rental mean?","26",""
