question,answers
What is a personal contract hire (PCH) agreement?,A personal contract hire (PCH) agreement involves you signing a contract to lease a car for a fixed period of time at an agreed monthly cost. For private leasing (for individuals) that means cost-effective and flexible motoring which often works out as being cheaper than other forms of finance such as personal contract purchase (PCP) and hire purchase (HP).
What is the difference between personal contract hire (PCH) and personal contract purchase (PCP)?,"With both PCH and PCP agreements, the finance company owns the vehicle throughout the lease. As the name suggests, the lessee is merely hiring the car for a contracted length of time. At the end of the lease, the vehicle is handed back to the finance company, whereas those taking out personal contract purchase (PCP) deals will have the option of buying the car outright at the end of the lease. "
What is the difference between personal and business contract hire?,"Business contract hire is popular with various types of fleets and works in much the same way as personal contract hire, albeit exclusively for companies. For more information on eligibility check out our full business contract hire guide here, you can also find all our business car leasing deals here."
Is it a good idea to lease a new car?,"As oil baron JP Getty once stated: “If it appreciates, buy it. If it depreciates, lease it.” With this in mind, it helps to realise that cars are historically one of the fastest depreciating commodities you can own, with huge amounts disappearing off its value the moment you drive it away from a dealership and even more being obliterated one year into ownership.Leasing helps negate this, with your fixed monthly cost essentially ‘paying off’ any depreciation on the car. The more residual value a car keeps, the cheaper it is to lease which is why you can often find the best lease deals on more premium manufacturers, such as Mercedes-Benz."
Do you advertise ‘no deposit’ lease deals on Leasing.com?,"We don’t advertise ‘no deposit’ lease deals, although you can find lease deals that are available with a one-month initial rental, this means you pay the same monthly price throughout the deal. Here’s all our one month initial rental deals."
What is the difference between an ‘in stock’ deal and a ‘factory’ order?,"If a deal is advertising as ‘in stock’ this means that the vehicle in question doesn’t have to be built to order and is ready to go, so delivery should be faster. They’re a great option if you don’t want to wait for a car to be built, although you may have to be flexible when it comes to specification and colour options. Please note, some stock vehicles may also be pre-registered, which is a new car that has already been registered with the DVLA by a dealership, leasing company, or broker, but hasn't been used by anyone else. Here’s all our in-stock deals."
Is insurance included in a car lease deal?,"No. Because the cost of insurance can vary wildly between drivers, it is impossible to accurately factor in insurance costs with our monthly lease rates. Luckily though, insuring a lease car is no different to getting any other car insured, so shop around for the most suitable quote for you."
Can you get car insurance if you’re not the registered owner?,This is essentially how insuring a lease car works. When you are looking for a car insurance quote on a lease car one question from the car insurer will ask if you are the registered keeper and legal owner. At this point you would click ‘no’ and fill in further details about the company you are leasing from.
Can you lease a second car?,"Yes you can lease multiple vehicles, providing you pass the relevant credit and affordability checks. Please be aware that this might severely impact your credit rating and ensure that you can afford the monthly repayments on leasing more than one car before enquiring.
"
Is road tax included in a car lease?,"Road tax, or Vehicle Excise Duty (VED) to give it its proper name, will normally be included within the price. All lease agreements should include road tax either for the duration of the contract or for the first 12 months."
What happens if road tax increases during my lease contract?,"If Vehicle Excise Duty increases during the lease agreement, you may be liable to pay the amount of the increase. This can vary between funders and depends on the level of increase, so always check your contract."
